Phase 1,,Phase 2,,Phase 2',,Phase 3,,Phase 4,,Phase 5,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.014225110569545896,0.017950883347880975,0.008080151638234445,0.015221817072520238,0.006376929325751346,-0.02010653489037395,0.005987303306555891,-0.04228511396422974,0.004631202356628783,0.0022282023296522624,0.007354970149446138,-0.10169716935368989
0.028919577579203826,0.09708319524515296,0.00888166802057938,-0.03640939865378989,0.021533054055632495,-0.03457733063914681,0.02038491239682677,-0.058757472484284534,0.012221319613683501,-0.06832239688585062,0.02090441375575408,-0.15542370035015374
0.043614044588861756,0.17861850841077676,0.023175376839064787,0.05298968937020554,0.03620001805217071,0.001997226219780046,0.03370641152931969,-0.10266994723677492,0.037713993441044535,-0.14143201006733896,0.035598880765411955,-0.25383077627971673
0.05830851159851963,0.25732676126068554,0.03827060203989524,0.09217109182575278,0.047770055460280125,-0.03754170278276803,0.04838497543615328,-0.10924853879147989,0.056638685801967625,-0.2113746101422258,0.050293347775069885,-0.34304990618321085
0.07300297860817756,0.34366807696302537,0.052965069049553115,0.14373956564480928,0.07433883924541917,-0.01934162484359092,0.06365195414748614,-0.06349213123603015,0.07300297860817756,-0.284302792308905,0.06498781478472776,-0.422939737044846
0.08769744561783549,0.43170562885479136,0.06765953605921105,0.20548545660043693,0.0890333062550771,0.000761667661572929,0.07834642115714407,-0.04118373168461176,0.08769744561783549,-0.3273600659143838,0.07968228179438569,-0.4994370955276253
0.10239191262749336,0.5248318893148429,0.08235400306886898,0.2672313475560646,0.10372777326473498,0.037092286378930694,0.09304088816680195,-0.027045536445605478,0.10239191262749336,-0.3572109291878842,0.09437674880404362,-0.5691495092526946
0.1170863796371513,0.623894976437894,0.09704847007852685,0.3374584194588337,0.11842224027439291,0.09946013060401526,0.10773535517645988,-0.006207208258356189,0.1170863796371513,-0.3862136743666724,0.1090712158137015,-0.6329250963147626
0.13178084664680917,0.7280467721292307,0.11174293708818478,0.40938172755103164,0.13311670728405084,0.15809625521235837,0.12265246562565807,0.01293706929516425,0.13178084664680917,-0.40758335669303314,0.12376568282335942,-0.6950044471874026
0.1464753136564671,0.8321985678205657,0.12643740409784265,0.48639374421151427,0.1478111742937087,0.20542413855784503,0.1370457091582909,0.031282964499625976,0.1464753136564671,-0.42980115711410605,0.13846014983301735,-0.7477544990181872
0.16116978066612503,0.943135308269615,0.14113187110750058,0.5659501151561397,0.16250564130336664,0.25868884856633123,0.1645094322592291,0.04578847088964366,0.16116978066612503,-0.44438589468275147,0.15315461684267523,-0.7988083146595422
0.1758642476757829,1.0625532296658058,0.1558263381171585,0.6531395489531926,0.17720010831302452,0.3144979128589611,0.18120769022474942,0.08376431928984474,0.1758642476757829,-0.4555781598725428,0.16784908385233316,-0.8473177760167552
0.19055871468544083,1.1802749148725686,0.1705208051268164,0.7445695732238153,0.19189457532268245,0.37200321334101805,0.19590215723440735,0.12006666740404626,0.19055871468544083,-0.46677042506233235,0.18254355086199103,-0.8924347649951105
0.2052531816950987,1.2996928362687594,0.18521527213647432,0.835151479399725,0.20658904233234038,0.43459722239135967,0.21059662424406522,0.1580652517076775,0.2052531816950987,-0.47372209977855206,0.19723801787164896,-0.9367036358787537
0.21994764870475664,1.4241994662332358,0.19990973914613225,0.9299739760492054,0.22128350934199825,0.4971912314417022,0.22529109125372315,0.2036968988637362,0.22012576345638885,-0.4768686875721375,0.2119324848813069,-0.9758837981941113
0.2346421157144145,1.551250450481854,0.21460420615579012,1.0358220079299691,0.23597797635165607,0.5665701852497564,0.23998555826338097,0.2450879555462233,0.2346421157144145,-0.47292473556927916,0.22662695189096477,-1.0142158424147532
0.24933658272407244,1.6825420252040422,0.22929867316544805,1.136581331242449,0.250672443361314,0.6376453752472404,0.2546800252730389,0.2949601931758554,0.24933658272407244,-0.4682854629910693,0.24132141890062264,-1.049155414256541
0.26403104973373026,1.81552983611566,0.24399314017510587,1.2441255993126408,0.26536691037097193,0.7163536280971519,0.26937449228269683,0.3465286669949119,0.26403104973373026,-0.4591228939077201,0.25601588591028057,-1.080702513719471
